Team,Day,Shift,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12
0,1,1,659.9432711950669,662.4418798991819,670.136402123919,660.9537015994563,678.3893323578316,644.3680713719286,665.1952334171935,648.1453498521453,661.452869422907,658.715100632242,658.6850898668465,637.730986590482
0,1,2,663.0450257344563,669.3064148847235,681.4589847671477,671.6981664169417,635.3328604706159,647.9156629256081,672.9465840850387,649.8426742530083,664.4085978247032,644.8073983395963,671.1086067713043,675.6177742315095
0,1,3,665.1939162306235,665.1676352596814,664.1783284669073,654.5004183282746,668.5734424530677,661.5557159649412,663.3878673591676,667.68075962751,681.1448354842539,683.2655239091996,659.1839599454887,668.3990610738135
0,2,1,666.417146071064,678.7089041271581,643.1079672080806,652.3367604957515,670.8098059021926,669.0249828135628,638.8938037467013,640.9250206385534,679.5044109334351,665.7422111250112,668.8602048076426,664.5380898833989
0,2,2,652.6282455958014,645.6072698547457,651.3994992341353,646.4026983852638,658.4483684301931,662.141525061765,652.781403810414,690.445130189876,672.4711920812798,649.8173014054898,660.6816405775988,661.1139496766194
0,2,3,664.8527633265793,656.255924483381,670.9965937712745,663.2821664617052,669.2729989613925,649.5512424409287,657.9556103855303,669.0589898356307,669.0463279298954,657.2109259194006,657.7532980076431,666.4472100722971
0,3,1,679.2885504565617,659.2297333853951,668.9391973632722,665.4373917034931,660.6050883363498,647.7121793814887,661.4913442709792,661.9105299478479,658.631782047898,664.9431844857938,656.0163187836711,657.4362361700634
0,3,2,675.6219184418941,685.4705994685768,659.8388224897461,653.9077722279798,646.9098214427135,666.6413023626952,672.2756336578401,670.1853428218451,678.5910771512874,672.7665819061518,684.2359693046741,656.5980301159268
0,3,3,648.0483767232175,646.3791864010963,668.60768702069,664.5570619321618,655.1771849595937,663.4258645719947,661.4949775774927,662.5579928617353,659.209760452109,660.1906666416786,677.4577093112104,656.1205694991893
0,4,1,668.9615880665855,647.2714240210701,666.0875131331411,667.339002703527,645.98302953392,662.7492193450872,661.5233838761459,668.2230269691803,640.8177505282184,659.9424696511262,659.0994802081256,649.5267053393209
0,4,2,673.3842841140903,653.3313523339976,656.7398235205826,656.242731507666,676.8933898963945,674.2604741358377,662.0049245988238,666.288447304267,664.8501073913708,639.7517416262386,678.327761359108,684.4630362090917
0,4,3,658.0680069996397,641.8376512279291,680.8203385579436,678.035658264678,666.6194753132442,687.0274002449357,672.1921713300657,663.8145074268259,674.5276435955799,671.4962708059358,673.576853473203,679.2805979842864
0,5,1,662.248755673919,674.6526457894922,652.4798399579106,651.7104925110085,646.2740191813813,660.8824626607202,675.2462651843841,657.5322184484036,659.7108777364002,661.3869696903333,664.9442213527697,663.5566767936796
0,5,2,651.7363670266242,660.4512511874084,666.1608886836702,666.0252009097273,638.6239883863997,673.5009347936177,685.2020417236656,674.8447034498015,669.0413230362777,672.1288300937872,671.4024425162635,668.2702003374968
0,5,3,659.2960934950296,663.8806761338067,668.847867506978,657.7161369973107,658.6872541544569,660.211284826674,682.4807174541814,645.2631011926386,665.8743010076486,666.8509649829199,648.7820852724577,647.769762615525
0,6,1,671.9073243940218,644.1404324086575,646.5912422619207,670.8185066872848,650.3531582130353,676.5578012249234,661.3207464958833,665.36640976832,663.9651419027375,670.8810782845894,641.2847447735829,654.9326123501934
0,6,2,647.4833308328647,665.9485700148769,649.8021045427407,665.0305106581479,660.3331564549904,658.9604322856422,668.7206816535672,653.7685529353404,650.4696805647814,670.1908638080332,665.7631452828178,672.6420516335066
0,6,3,653.4364699989356,660.2677937549965,647.4035236960584,648.8943530274894,667.3306703276403,672.4061106344534,676.4078314927417,663.1279382154991,669.7983640140394,676.7795397888965,639.7896294810407,649.8232300511888
0,7,1,663.3024547194339,659.7773286697677,655.2274017692343,664.0261130995494,670.4037538041121,655.3152666578478,650.6764485099673,653.3897463565715,665.9972591162674,663.1214757746723,666.5358989882642,688.1176009281269
0,7,2,655.5151688450838,665.0938303072509,668.3766918375331,664.1630535644583,667.2268595024179,661.1407079589218,660.5556411357682,651.7179482252664,649.6172440788837,667.1928959242975,664.5293285398363,657.0059594023288
0,7,3,676.3686905022726,676.5621855585805,640.2679983168125,657.3699058218181,660.9099401166669,650.7019785952556,676.0001490411047,658.4804371208112,662.6162211303691,676.6922049640248,671.4458081634659,672.0241378293165
1,1,1,665.1470479929849,657.6342766114061,672.6812099464513,670.0778716366561,653.7402372620155,672.5189690777679,647.6392363125849,655.2522131961723,650.6116577406658,647.0176581306376,673.5846912297892,661.4298117635838
1,1,2,646.0281963840097,673.7049622321837,673.463158964114,678.5591152116938,647.921926667895,658.0727109516598,645.0629216765171,668.333375014712,642.7817639754622,670.7375232487045,653.1762156777218,658.5946651497309
1,1,3,658.5216166035686,657.5860051579473,655.1474343221017,660.3954657652343,669.9881037865408,667.5341157774543,663.812731837435,660.7880590563803,647.224024450139,671.1214477595227,660.0226310805201,659.6198078798045
1,2,1,657.9961815917095,653.2659584415858,659.9249097488314,662.1086515528299,641.7020812596671,625.7496365707639,661.7209233358518,664.8669556296027,636.2285730282466,654.3398811180151,642.8756502852434,648.34396562953
